Run ID,Run Name,Status,Run Type,Start Time,Latency (s),Input,Output,Error,Model,Input Tokens,Output Tokens,Total Tokens,Cost ($)
019eecb6-d4ae-7831-9a65-f7ee42da475f,bedrock_converse,success,llm,2026-06-22 00:24:25,0.03,"{""model_tier"": ""sonnet"", ""system"": ""system"", ""user"": ""user""}","{""llm_model_id"": ""sonnet-selected"", ""llm_provider"": ""bedrock"", ""llm_succeeded"": true, ""summary"": ""ok",,sonnet-selected,0,0,0,0.000000
019eecb6-d496-7d10-9d78-ffe2a09b0aca,structuring,error,chain,2026-06-22 00:24:25,0.00,"{""agent_runs"": [], ""evidence_items"": {}, ""idea_id"": ""idea-test"", ""ip_overlap_candidates"": [], ""job_i",-,"InsufficientInputError('{대상 고객, 해결하려는 문제, 제공할 제품 또는 서비스} 내용을 더 자세히 입력해주세요')Traceback (most recent ca",-,0,0,0,0.000000
019eecb6-d495-7d22-a653-4a07ddd8453d,LangGraph,error,chain,2026-06-22 00:24:25,0.02,"{""idea_id"": ""idea-test"", ""job_id"": ""job-test"", ""raw_input"": ""아무거나""}",-,"InsufficientInputError('{대상 고객, 해결하려는 문제, 제공할 제품 또는 서비스} 내용을 더 자세히 입력해주세요')Traceback (most recent ca",-,0,0,0,0.000000
019eecb6-d46f-7101-b336-f1b23de8b8ea,_route_after_critic,success,chain,2026-06-22 00:24:25,0.00,"{""agent_runs"": [{""agent_name"": ""bm"", ""agent_run_id"": ""405a948f-9e6e-4767-ba49-1f7930f76865"", ""confid","{""output"": ""__end__""}",,-,0,0,0,0.000000
019eecb6-d46d-7e92-be81-f128304d9da5,critic,success,chain,2026-06-22 00:24:25,0.00,"{""agent_runs"": [{""agent_name"": ""bm"", ""agent_run_id"": ""405a948f-9e6e-4767-ba49-1f7930f76865"", ""confid","{""agent_runs"": [{""agent_name"": ""critic"", ""agent_run_id"": ""ec63762a-78e5-4d96-b132-72d5bd978d5a"", ""co",,-,0,0,0,0.000000
019eecb6-d463-70d2-b9e7-a7effdda4b26,tech,success,chain,2026-06-22 00:24:25,0.01,"{""agent_runs"": [], ""analysis_job"": {""current_stage"": ""structuring"", ""idea_id"": ""idea-test"", ""job_id""","{""agent_runs"": [{""agent_name"": ""tech"", ""agent_run_id"": ""7ae2fb42-62aa-4a07-97a6-c553f590d138"", ""conf",,-,0,0,0,0.000000
019eecb6-d462-7471-bcf1-38b24b076756,market,success,chain,2026-06-22 00:24:25,0.01,"{""agent_runs"": [], ""analysis_job"": {""current_stage"": ""structuring"", ""idea_id"": ""idea-test"", ""job_id""","{""agent_runs"": [{""agent_name"": ""market"", ""agent_run_id"": ""534f71bc-2436-4aef-a43a-9357032acf4c"", ""co",,-,0,0,0,0.000000
019eecb6-d462-7471-bcf1-38ae96e5f219,ip,success,chain,2026-06-22 00:24:25,0.01,"{""agent_runs"": [], ""analysis_job"": {""current_stage"": ""structuring"", ""idea_id"": ""idea-test"", ""job_id""","{""agent_runs"": [{""agent_name"": ""ip"", ""agent_run_id"": ""0773917b-0580-48bd-aba6-c9bc25080516"", ""confid",,-,0,0,0,0.000000
019eecb6-d460-7141-837d-bd697a3da0ac,competitor,success,chain,2026-06-22 00:24:25,0.00,"{""agent_runs"": [], ""analysis_job"": {""current_stage"": ""structuring"", ""idea_id"": ""idea-test"", ""job_id""","{""agent_runs"": [{""agent_name"": ""competitor"", ""agent_run_id"": ""dec6bd57-6bde-4d8d-b81b-933a8b00ff2d"",",,-,0,0,0,0.000000
019eecb6-d45f-7360-85ff-c98369b89262,bm,success,chain,2026-06-22 00:24:25,0.01,"{""agent_runs"": [], ""analysis_job"": {""current_stage"": ""structuring"", ""idea_id"": ""idea-test"", ""job_id""","{""agent_runs"": [{""agent_name"": ""bm"", ""agent_run_id"": ""405a948f-9e6e-4767-ba49-1f7930f76865"", ""confid",,-,0,0,0,0.000000
019eecb6-d44f-7d61-a6ed-da98f82470e7,structuring,success,chain,2026-06-22 00:24:25,0.01,"{""agent_runs"": [], ""evidence_items"": {}, ""idea_id"": ""idea-test"", ""ip_overlap_candidates"": [], ""job_i","{""analysis_job"": {""current_stage"": ""structuring"", ""idea_id"": ""idea-test"", ""job_id"": ""job-test"", ""pro",,-,0,0,0,0.000000
019eecb6-d409-7051-b759-e73ee16569ef,LangGraph,success,chain,2026-06-22 00:24:25,0.10,"{""idea_id"": ""idea-test"", ""job_id"": ""job-test"", ""raw_input"": ""중소 제조업체 유지보수 팀을 위해 분산된 정비 기록을 검색하고 고장 원","{""agent_runs"": [{""agent_name"": ""bm"", ""agent_run_id"": ""405a948f-9e6e-4767-ba49-1f7930f76865"", ""confid",,-,0,0,0,0.000000

TOTAL,,✓10 ✗2,,,,,,,,,,0,0.000000
